#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD8DE7
#Date Time: 2020-06-09 19:00:13.200
#Sample rate: 33189.5Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 400 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.24682496,-0.1439674489205264
-0.24679483,-0.1459667273446088
-0.2467647,-0.1433010227791653
-0.24673457,-0.1349706960121514
-0.24670444,-0.1219753862556156
-0.24667431,-0.1043150935095403
-0.24664418,-0.08365588312733475
-0.24661405,-0.05933132896766525
-0.24658392,-0.03334070945458191
-0.24655379,-0.006017237658763923
-0.24652366,0.02130623413702922
-0.24649353,0.04829649286214195
-0.2464634,0.07328747316320605
-0.24643327,0.09561274889879312
-0.24640314,0.1146058939275762
-0.24637301,0.1292672690375292
-0.24634288,0.1392636611579459
-0.24631275,0.144261857218152
-0.24628262,0.1439286441474737
-0.24625249,0.1385972350165801
-0.24622236,0.1282676298254876
-0.24619223,0.1132730416448626
-0.2461621,0.09394668354538005
-0.24613197,0.07128819473911258
-0.24610184,0.04563078829672144
-0.24607171,0.01864052957157204
-0.24604158,-0.009349368365581904
-0.24601145,-0.03700605323205545
-0.24598132,-0.06366309888651248
-0.24595119,-0.08865407918755416
-0.24592106,-0.1109793549231412
-0.24589093,-0.1303057130226236
-0.2458608,-0.1453003012032532
-0.24583067,-0.1552966933236653
-0.24580054,-0.1599616763131931
-0.24577041,-0.1582956109597873
-0.24574028,-0.1516313495461792
-0.24571015,-0.1403021051430454
-0.24568002,-0.1246410908210454
-0.24564989,-0.1053147327215819
-0.24561976,-0.08265624391531445
-0.24558963,-0.05766526361426248
-0.2455595,-0.03100821795981802
-0.24552937,-0.003351533093344478
-0.24549924,0.02397193870247366
-0.24546911,0.04929613207420604
-0.24543898,0.07162140780979312
-0.24540885,0.09094776590926534
-0.24537872,0.1066087802312562
-0.24534859,0.1169383854223487
-0.24531846,0.1226030076239155
-0.24528833,0.123269433765277
-0.2452582,0.1182712377050709
-0.24522807,0.1086080586553392
-0.24519794,0.09427989661607092
-0.24516781,0.07561996465795978
-0.24513768,0.05362790199305312
-0.24510755,0.02830370862132088
-0.24507742,0.001646662966864008
-0.24504729,-0.02567680882892913
-0.24501716,-0.05333349369541525
-0.24498703,-0.07999053934987076
-0.2449569,-0.1043150935095403
-0.24492677,-0.1259739431037665
-0.24489664,-0.1439674489205326
-0.24486651,-0.1576291848184292
-0.24483638,-0.1666259377268001
-0.24480625,-0.1702912815042903
-0.24477612,-0.1689584292215681
-0.24474599,-0.16229416780796
-0.24471586,-0.1509649234048181
-0.24468573,-0.1346374829414617
-0.2446556,-0.1146446987006375
-0.24462547,-0.0913197837529986
-0.24459534,-0.06566237731058371
-0.24456521,-0.03900533165615136
-0.24453508,-0.01134864678967782
-0.24450495,0.01530839886479088
-0.24447482,0.040965805307182
-0.24444469,0.06395750718412987
-0.24441456,0.08395029142497368
-0.24438443,0.09994451881764035
-0.2443543,0.1116069762914545
-0.24432417,0.1182712377050709
-0.24429404,0.1196040899877915
-0.24426391,0.115938746210307
-0.24423378,0.106941993301932
-0.24420365,0.09328025740402089
-0.24417352,0.07495353851659867
-0.24414339,0.05329468892237241
-0.24411326,0.02863692169198917
-0.24408313,0.001646662966876433
-0.244053,-0.02601002189959711
-0.24402287,-0.05433313290745691
-0.24399274,-0.08165660470326247
-0.24396261,-0.1073140111456536
-0.24393248,-0.1303057130226236
-0.24390235,-0.1492988580514223
-0.24387222,-0.1646266593027209
-0.24384209,-0.1752894775644986
-0.24381196,-0.1809540997660681
-0.24378183,-0.1809540997660681
-0.2437517,-0.1762891167765424
-0.24372157,-0.1662927246561168
-0.24369144,-0.1512981364754986
-0.24366131,-0.1323049914467156
-0.24363118,-0.1099797157111097
-0.24360105,-0.08532194848074859
-0.24357092,-0.05899811589699667
-0.24354079,-0.03100821795981802
-0.24351066,-0.003684746164000486
-0.24348053,0.0226390864197625
-0.2434504,0.046963640579432
-0.24342027,0.06828927710299591
-0.24339014,0.08661599599041814
-0.24336001,0.1009441580296755
-0.24332988,0.1102741240087395
-0.24329975,0.1146058939275848
-0.24326962,0.1136062547155436
-0.24323949,0.1072752063726126
-0.24320936,0.09594596196947369
-0.24317923,0.08028494764749468
-0.2431491,0.06095858954801534
-0.24311897,0.03830010074172604
-0.24308884,0.01297590737003836
-0.24305871,-0.01368113828442913
-0.24302858,-0.0406713970095661
-0.24299845,-0.06699522959331802
-0.24296832,-0.09198620989434834
-0.24293819,-0.1143114856299657
-0.24290806,-0.1336378437294292
-0.24287793,-0.1486324319100474
-0.2428478,-0.1596284632425125
-0.24281767,-0.1652930854440819
-0.24278754,-0.1659595115854428
-0.24275741,-0.1612945285959153
-0.24272728,-0.1516313495461725
-0.24269715,-0.1369699744362481
-0.24266702,-0.1186432555488042
-0.24263689,-0.09631797981319555
-0.24260676,-0.07132699951216526
-0.24257663,-0.04433674078705252
-0.2425465,-0.01668005592054155
-0.24251637,0.01097662894593199
-0.24248624,0.03763367460036432
-0.24245611,0.06229144183073757
-0.24242598,0.08395029142497368
-0.24239585,0.1019437972417155
-0.24236572,0.115938746210307
-0.24233559,0.1249354991186838
-0.24230546,0.128934055966845
-0.24227533,0.1276012036841265
-0.2422452,0.1212701553411906
-0.24221507,0.1096076978673765
-0.24218494,0.09361347047471708
-0.24215481,0.07395389930454641
-0.24212468,0.05062898435691811
-0.24209455,0.024971577914527
-0.24206442,-0.002018680810609679
-0.24203429,-0.0296753656770958
-0.24200416,-0.05666562440220854
-0.24197403,-0.0799905393498597
-0.2419439,-0.1006497497320623
-0.24191377,-0.118643255548796
-0.24188364,-0.1333046306587486
-0.24185351,-0.1436342358498486
-0.24182338,-0.1496320711220958
-0.24179325,-0.1499652841927763
-0.24176312,-0.1456335142739249
-0.24173299,-0.1363035482948736
-0.24170286,-0.1223085993262966
-0.24167273,-0.1043150935095403
-0.2416426,-0.08232303084462358
-0.24161247,-0.05766526361427369
-0.24158234,-0.03100821795981802
-0.24155221,-0.003351533093319173
-0.24152208,0.02463836484382204
-0.24149195,0.05196183663964034
-0.24146182,0.07695281694069217
-0.24143169,0.09927809267627924
-0.24140156,0.1182712377050623
-0.24137143,0.1329326128150199
-0.2413413,0.142929004935432
-0.24131117,0.1479272009956381
-0.24128104,0.1479272009956404
-0.24125091,0.1422625787940709
-0.24122078,0.1319329736029784
-0.24119065,0.1166051723516681
-0.24116052,0.0972788142521856
-0.24113039,0.07462032544592842
-0.24110026,0.04929613207419589
-0.24107013,0.02230587334905831
-0.24104,-0.005350811517415236
-0.24100987,-0.03267428331320837
-0.24097974,-0.0586649028263152
-0.24094961,-0.0829894569859847
-0.24091948,-0.1036486673681698
-0.24088935,-0.1209757470435681
-0.24085922,-0.1336378437294292
-0.24082909,-0.1413017443550784
